Time (ms), Command Position (mm), Encoded Position (mm)
0.0, 90.20026171874996, 90.19232421874996
0.1, 90.20125390624996, 90.19232421874996
0.2, 90.20224609374995, 90.19530078124995
0.30000000000000004, 90.20274218749995, 90.19530078124995
0.4, 90.20373437499995, 90.19530078124995
0.5, 90.20472656249994, 90.19530078124995
0.6000000000000001, 90.20571874999996, 90.19877343749995
0.7000000000000001, 90.20621484374995, 90.19877343749995
0.8, 90.20720703124996, 90.19877343749995
0.9, 90.20819921874995, 90.19877343749995
1.0, 90.20869531249994, 90.20174999999996
1.1, 90.20968749999996, 90.20174999999996
1.2000000000000002, 90.21067968749995, 90.20472656249994
1.3, 90.21117578124996, 90.20472656249994
1.4000000000000001, 90.21216796874995, 90.20472656249994
1.5, 90.21316015624996, 90.20472656249994
1.6, 90.21415234374994, 90.20819921874995
1.7000000000000002, 90.21464843749995, 90.20819921874995
1.8, 90.21564062499995, 90.20819921874995
1.9000000000000001, 90.21663281249995, 90.20819921874995
2.0, 90.21712890624995, 90.21117578124996
2.1, 90.21812109374996, 90.21117578124996
2.2, 90.21911328124996, 90.21117578124996
2.3000000000000003, 90.22010546874995, 90.21117578124996
2.4000000000000004, 90.22060156249995, 90.21117578124996
2.5, 90.22159374999995, 90.21464843749995
2.6, 90.22258593749994, 90.21464843749995
2.7, 90.22308203124996, 90.21762499999996
2.8000000000000003, 90.22407421874995, 90.21762499999996
2.9000000000000004, 90.22506640624995, 90.21762499999996
3.0, 90.22556249999995, 90.21762499999996
3.1, 90.22655468749994, 90.22060156249995
3.2, 90.22754687499996, 90.22060156249995
3.3000000000000003, 90.22853906249996, 90.22060156249995
3.4000000000000004, 90.22903515624995, 90.22060156249995
3.5, 90.23002734374995, 90.22060156249995
3.6, 90.23101953124996, 90.22407421874995
3.7, 90.23151562499996, 90.22407421874995
3.8000000000000003, 90.23250781249996, 90.22407421874995
3.9000000000000004, 90.23349999999995, 90.22407421874995
4.0, 90.23399609374995, 90.22705078124996
4.1000000000000005, 90.23498828124995, 90.22705078124996
4.2, 90.23598046874994, 90.23052343749995
4.3, 90.23697265624996, 90.23052343749995
4.4, 90.23746874999995, 90.23052343749995
4.5, 90.23846093749997, 90.23349999999995
4.6000000000000005, 90.23945312499995, 90.23349999999995
4.7, 90.23994921874994, 90.23349999999995
4.800000000000001, 90.24094140624996, 90.23349999999995
4.9, 90.24193359374995, 90.23349999999995
5.0, 90.24242968749996, 90.23647656249996
5.1000000000000005, 90.24342187499995, 90.23647656249996
5.2, 90.24441406249996, 90.23647656249996
5.300000000000001, 90.24540624999995, 90.23647656249996
5.4, 90.24590234374995, 90.23994921874994
5.5, 90.24689453124995, 90.23994921874994
5.6000000000000005, 90.24788671874995, 90.23994921874994
5.7, 90.24838281249995, 90.24292578124995
5.800000000000001, 90.24937499999996, 90.24292578124995
5.9, 90.25036718749996, 90.24292578124995
6.0, 90.25135937499995, 90.24292578124995
6.1000000000000005, 90.25185546874995, 90.24292578124995
6.2, 90.25284765624995, 90.24639843749996
6.300000000000001, 90.25383984374994, 90.24639843749996
6.4, 90.25433593749996, 90.24639843749996
6.5, 90.25532812499995, 90.24639843749996
6.6000000000000005, 90.25632031249995, 90.24639843749996
6.7, 90.25681640624995, 90.24937499999996
6.800000000000001, 90.25780859374994, 90.24937499999996
6.9, 90.25880078124996, 90.24937499999996
7.0, 90.25979296874995, 90.24937499999996
7.1000000000000005, 90.26028906249995, 90.24937499999996
7.2, 90.26128124999995, 90.25235156249995
7.300000000000001, 90.26227343749996, 90.25235156249995
7.4, 90.26276953124996, 90.25582421874995
7.5, 90.26376171874995, 90.25582421874995
7.6000000000000005, 90.26475390624995, 90.25582421874995
7.7, 90.26524999999995, 90.25880078124996
7.800000000000001, 90.26624218749996, 90.25880078124996
7.9, 90.26723437499994, 90.25880078124996
8.0, 90.26822656249996, 90.25880078124996
8.1, 90.26872265624995, 90.25880078124996
8.200000000000001, 90.26971484374997, 90.26227343749996
8.3, 90.27070703124996, 90.26227343749996
8.4, 90.27120312499994, 90.26227343749996
8.5, 90.27219531249996, 90.26524999999995
8.6, 90.27318749999995, 90.26524999999995
8.700000000000001, 90.27417968749995, 90.26822656249996
8.8, 90.27467578124995, 90.26822656249996
8.9, 90.27566796874996, 90.26822656249996
9.0, 90.27666015624995, 90.26822656249996
9.1, 90.27715624999995, 90.27169921874996
9.200000000000001, 90.27814843749995, 90.27169921874996
9.3, 90.27914062499995, 90.27169921874996
9.4, 90.27963671874996, 90.27169921874996
9.5, 90.28062890624996, 90.27467578124995
9.600000000000001, 90.28162109374996, 90.27467578124995
9.700000000000001, 90.28261328124995, 90.27467578124995
9.8, 90.28310937499995, 90.27467578124995
9.9, 90.28410156249996, 90.27467578124995
10.0, 90.28509374999994, 90.27814843749995
10.100000000000001, 90.28558984374996, 90.27814843749995
10.200000000000001, 90.28658203124995, 90.28112499999995
10.3, 90.28757421874995, 90.28112499999995
10.4, 90.28807031249995, 90.28112499999995
10.5, 90.28906249999994, 90.28112499999995
10.600000000000001, 90.29005468749996, 90.28410156249996
10.700000000000001, 90.29104687499995, 90.28410156249996
10.8, 90.29154296874995, 90.28410156249996
10.9, 90.29253515624995, 90.28410156249996
11.0, 90.29352734374996, 90.28410156249996
11.100000000000001, 90.29402343749996, 90.28757421874995
11.200000000000001, 90.29501562499995, 90.28757421874995
11.3, 90.29600781249995, 90.28757421874995
11.4, 90.29650390624995, 90.28757421874995
11.5, 90.29749609374996, 90.29055078124995
11.600000000000001, 90.29848828124994, 90.29055078124995
