Time (ms), Command Position (mm), Encoded Position (mm)
0.0, 90.04002343749995, 90.04002343749995
0.1, 90.04002343749995, 90.04002343749995
0.2, 90.04051953124996, 90.04002343749995
0.30000000000000004, 90.04051953124996, 90.04002343749995
0.4, 90.04051953124996, 90.04002343749995
0.5, 90.04101562499996, 90.04002343749995
0.6000000000000001, 90.04101562499996, 90.04002343749995
0.7000000000000001, 90.04101562499996, 90.04002343749995
0.8, 90.04101562499996, 90.04002343749995
0.9, 90.04151171874996, 90.04002343749995
1.0, 90.04151171874996, 90.04002343749995
1.1, 90.04151171874996, 90.04002343749995
1.2000000000000002, 90.04200781249995, 90.04002343749995
1.3, 90.04200781249995, 90.04002343749995
1.4000000000000001, 90.04200781249995, 90.04002343749995
1.5, 90.04200781249995, 90.04002343749995
1.6, 90.04250390624996, 90.04002343749995
1.7000000000000002, 90.04250390624996, 90.04299999999995
1.8, 90.04250390624996, 90.04299999999995
1.9000000000000001, 90.04299999999995, 90.04299999999995
2.0, 90.04299999999995, 90.04299999999995
2.1, 90.04299999999995, 90.04299999999995
2.2, 90.04299999999995, 90.04299999999995
2.3000000000000003, 90.04349609374995, 90.04299999999995
2.4000000000000004, 90.04349609374995, 90.04299999999995
2.5, 90.04349609374995, 90.04299999999995
2.6, 90.04399218749995, 90.04299999999995
2.7, 90.04399218749995, 90.04299999999995
2.8000000000000003, 90.04399218749995, 90.04299999999995
2.9000000000000004, 90.04399218749995, 90.04299999999995
3.0, 90.04448828124995, 90.04299999999995
3.1, 90.04448828124995, 90.04299999999995
3.2, 90.04448828124995, 90.04299999999995
3.3000000000000003, 90.04498437499996, 90.04299999999995
3.4000000000000004, 90.04498437499996, 90.04299999999995
3.5, 90.04498437499996, 90.04299999999995
3.6, 90.04498437499996, 90.04299999999995
3.7, 90.04548046874996, 90.04299999999995
3.8000000000000003, 90.04548046874996, 90.04299999999995
3.9000000000000004, 90.04548046874996, 90.04299999999995
4.0, 90.04597656249994, 90.04299999999995
4.1000000000000005, 90.04597656249994, 90.04299999999995
4.2, 90.04597656249994, 90.04299999999995
4.3, 90.04597656249994, 90.04299999999995
4.4, 90.04647265624996, 90.04299999999995
4.5, 90.04647265624996, 90.04299999999995
4.6000000000000005, 90.04647265624996, 90.04299999999995
4.7, 90.04696874999996, 90.04299999999995
4.800000000000001, 90.04696874999996, 90.04299999999995
